text,label
delight [SEP] confession of love [SEP] proposal for a beginning of a relationship,white roses
joy [SEP] birthday [SEP] bright and fresh flowers for warm days,"tulips, freesias"
romance [SEP] wedding [SEP] for a ceremonial and magical moment,"orchid, lily"
tenderness [SEP] gratitude [SEP] lightness and warmth in every petal,"sunflowers, hydrangea"
calm [SEP] anniversary [SEP] for special moments in life,"callas, orchids, freesia"
admiration [SEP] success congratulations [SEP] bright and joyful congratulations,"daffodils, tulips"
love [SEP] mother's day [SEP] magical combination for the most important woman,"roses, carnations, lilies"
passion [SEP] romantic date [SEP] for those seeking tenderness and warmth,"freesia, asters"
tenderness [SEP] valentine's day [SEP] purity of feelings and passion in every petal,"white roses, hydrangea"
joy [SEP] birthday [SEP] morning light and delicate flowers for a good day,"roses, alstroemeria, freesia"
calm [SEP] gratitude [SEP] the light scent of lavender in the heart for the closest ones,"lavender, carnations"
sadness [SEP] farewell [SEP] leaves reminiscent of farewells and meetings,"chrysanthemums, irises"
magic [SEP] christmas [SEP] for those who believe in miracles during this magical season,"amaryllis, roses"
happiness [SEP] wedding [SEP] harmony of two hearts in every flower,"alstroemeria, lilies"
inspiration [SEP] success [SEP] for someone who inspires new achievements,"irises, freesias, hydrangea"
comfort [SEP] thanksgiving day [SEP] for those who bring warmth and joy in cold days,"carnation, roses"
admiration [SEP] anniversary [SEP] for special people and special evenings,"orchids, roses"
love [SEP] confession of love [SEP] for those who charm and inspire,"roses, callas"
happiness [SEP] wedding [SEP] for the happiest moments in life,"daisies, lilies"
joy [SEP] birthday [SEP] the beginning of a new day with beautiful flowers for a bright morning,"orchids, asters"
delight [SEP] birthday [SEP] for unforgettable moments of happiness,"callas, orchids, roses"
joy [SEP] celebration [SEP] flowers filled with sunlight,"sunflowers, gladioluses, tulips"
love [SEP] date [SEP] for an evening filled with passion and romance,"freesia, callas, roses"
calm [SEP] autumn festival [SEP] the freshness of the forest in every petal,"lavender, hydrangea, lilies"
inspiration [SEP] success [SEP] a boost of energy and positivity for the whole day,"sunflowers, tulips, irises"
euphoria [SEP] wedding celebration [SEP] for the most magical night of your life,"orchids, amaryllis, roses"
